"Stock","Stock code","Current Price Rs","Market Capitalization in Cr","Latest financial result yyyymmdd","PE TTM Price to Earnings","Price to Book Value","Revenue QoQ Growth %","Net Profit QoQ Growth %","NSE Code","BSE Code","ISIN"
"Honeywell Automation India Ltd.","HONAUT","36778.85","32518.02","2023-09-30","73.33","10.2","18.44","17.85","HONAUT","517174","INE671A01010"
"3M India Ltd.","3MINDIA","30728.25","34615.68","2023-09-30","64.6","20.64","-0.97","13.08","3MINDIA","523395","INE470A01017"
"Shree Cements Ltd.","SHREECEM","25997.05","93799.18","2023-09-30","51.35","5.02","-5.23","-21.96","SHREECEM","500387","INE070A01015"
"Nestle India Ltd.","NESTLEIND","24350.85","234780.42","2023-09-30","79.02","95.48","8.12","30.03","NESTLEIND","500790","INE239A01016"
"Abbott India Ltd.","ABBOTINDIA","23904.25","50794.86","2023-09-30","46.97","15.93","1.02","7.82","ABBOTINDIA","500488","INE358A01014"
"Bosch Ltd.","BOSCHLTD","20821.3","61409.51","2023-09-30","28.87","5.58","-0.68","144.27","BOSCHLTD","500530","INE323A01026"
"Procter & Gamble Hygiene & Healthcare Ltd.","PGHH","17907.85","58130.13","2023-09-30","79.15","61.45","33.53","39.31","PGHH","500459","INE179A01014"
"ZF Commercial Vehicle Control Systems India Ltd.","ZFCVINDIA","15837.45","30039.84","2023-09-30","76.62","12.47","2.57","5.96","ZFCVINDIA","533023","INE342J01019"
"Lakshmi Machine Works Ltd.","LAXMIMACH","13059.1","13951.04","2023-09-30","33.54","5.97","10.88","22.72","LAXMIMACH","500252","INE269B01029"
"Maruti Suzuki India Ltd.","MARUTI","10494.55","317019.47","2023-09-30","27.93","5.13","14.64","49.07","MARUTI","532500","INE585B01010"
"UltraTech Cement Ltd.","ULTRACEMCO","8759.9","252886.66","2023-09-30","44.41","4.65","-9.73","-24.1","ULTRACEMCO","532538","INE481G01011"
"Cera Sanitaryware Ltd.","CERA","8499.55","11054.43","2023-09-30","47.58","9.34","8.11","1.11","CERA","532443","INE739E01017"
"Tata Elxsi Ltd.","TATAELXSI","8389.7","52248.03","2023-09-30","66.55","25.05","3.7","5.91","TATAELXSI","500408","INE670A01012"
"Sanofi India Ltd.","SANOFI","7861.9","18106.43","2023-09-30","30.36","14.17","1.2","23.79","SANOFI","500674","INE058A01010"
"Bajaj Holdings & Investment Ltd.","BAJAJHLDNG","7377.3","82104.55","2023-09-30","14.81","1.59","115.94","5.35","BAJAJHLDNG","500490","INE118A01012"
"Bajaj Finance Ltd.","BAJFINANCE","7128.35","440548.5","2023-09-30","33.58","8.09","7.04","3.31","BAJFINANCE","500034","INE296A01024"
"Blue Dart Express Ltd.","BLUEDART","6682.65","15856.53","2023-09-30","54.22","13.46","7.02","19.22","BLUEDART","526612","INE233B01017"
"Solar Industries India Ltd.","SOLARINDS","6649.25","60169.13","2023-09-30","74.45","21.88","-19.9","1.38","SOLARINDS","532725","INE343H01029"
"Persistent Systems Ltd.","PERSISTENT","6594","50724.34","2023-09-30","51.68","12.79","3.9","15.08","PERSISTENT","533179","INE262H01013"
"Atul Ltd.","ATUL","6509.55","19212.16","2023-09-30","48.97","4.07","0.99","-12.61","ATUL","500027","INE100A01010"
"Gillette India Ltd.","GILLETTE","6416.05","20906.83","2023-09-30","57.82","21.14","7.77","1.02","GILLETTE","507815","INE322A01010"
"Linde India Ltd.","LINDEINDIA","5951","50752.63","2023-09-30","121.46","16.16","-1.34","8.86","LINDEINDIA","523457","INE473A01011"
"Bajaj Auto Ltd.","BAJAJ-AUTO","5751.55","162744.36","2023-09-30","23.79","5.54","5.1","22.86","BAJAJ-AUTO","532977","INE917I01010"
"Dr. Reddy's Laboratories Ltd.","DRREDDY","5664.55","94482.94","2023-09-30","18.56","4.06","2.14","5.49","DRREDDY","500124","INE089A01023"
"Coforge Ltd.","COFORGE","5634.45","34705.11","2023-09-30","49.85","10.95","2.49","13.67","COFORGE","532541","INE591G01017"
"Apar Industries Ltd.","APARINDS","5577.65","21344.89","2023-09-30","27.23","9.54","4.05","-11.93","APARINDS","532259","INE372A01015"
"LTIMindtree Ltd.","LTIM","5553.65","164341.28","2023-09-30","37.12","9.91","2.34","0.89","LTIM","540005","INE214T01019"
"Apollo Hospitals Enterprise Ltd.","APOLLOHOSP","5532","79541.7","2023-09-30","114.04","12.18","9.71","39.8","APOLLOHOSP","508869","INE437A01024"
"Dixon Technologies (India) Ltd.","DIXON","5412.2","32364.14","2023-09-30","104.84","25.19","51.1","55.94","DIXON","540699","INE935N01020"
"Polycab India Ltd.","POLYCAB","5313.05","79771.99","2023-09-30","49.63","11.96","8.44","6.59","POLYCAB","542652","INE455K01017"
"Bayer Cropscience Ltd.","BAYERCROP","5310.45","23866.28","2023-09-30","28.26","8.79","-7.04","-32.15","BAYERCROP","506285","INE462A01022"
"Craftsman Automation Ltd.","CRAFTSMAN","5187.8","10960.94","2023-09-30","36.75","7.62","13.63","26.93","CRAFTSMAN","543276","INE00LO01017"
"Procter & Gamble Health Ltd.","PGHL","5165.2","8573.92","2023-09-30","37.06","11.42","1.25","119.89","PGHL","500126","INE199A01012"
"Info Edge (India) Ltd.","NAUKRI","4741.45","61346.82","2023-09-30","-2393.93","4.25","-0.02","29.33","NAUKRI","532777","INE663F01024"
"SKF India Ltd.","SKFINDIA","4702","23245.75","2023-09-30","48.03","9.93","-2.12","-41.74","SKFINDIA","500472","INE640A01023"
"Hitachi Energy India Ltd.","POWERINDIA","4698.55","19913.25","2023-09-30","241.26","16.39","18.07","926.56","POWERINDIA","543187","INE07Y701011"
"Britannia Industries Ltd.","BRITANNIA","4694.2","113068.4","2023-09-30","44.58","31.72","10.53","28.42","BRITANNIA","500825","INE216A01030"
"L&T Technology Services Ltd.","LTTS","4566.75","48282.42","2023-09-30","38.95","9.76","3.7","1.38","LTTS","540115","INE010V01017"
"Alkem Laboratories Ltd.","ALKEM","4530.95","54174.3","2023-09-30","37.81","5.74","15.92","116.41","ALKEM","539523","INE540L01014"
"Safari Industries (India) Ltd.","SAFARI","4473.5","10639.59","2023-09-30","65.57","24.99","-13.28","-20.38","SAFARI","523025","INE429E01023"
"Crisil Ltd.","CRISIL","4328.15","31644.66","2023-09-30","52.19","17.67","-4.56","0.94","CRISIL","500092","INE007A01025"
"Fine Organic Industries Ltd.","FINEORG","4240.4","13001.07","2023-09-30","28.34","8.44","-1.22","3.61","FINEORG","541557","INE686Y01026"
"ABB India Ltd.","ABB","4234.4","89730.49","2023-09-30","74.24","18.17","10.39","22.74","ABB","500002","INE117A01022"
"Tata Investment Corporation Ltd.","TATAINVEST","4180.3","21150.35","2023-09-30","64.87","1.08","-18.3","-15.24","TATAINVEST","501301","INE672A01018"
"Pfizer Ltd.","PFIZER","4095","18733.68","2023-09-30","35.83","5.84","8.25","59.26","PFIZER","500680","INE182A01018"
"Oracle Financial Services Software Ltd.","OFSS","4082.85","35363.03","2023-09-30","19.27","4.74","-1.23","-16.67","OFSS","532466","INE881D01027"
"Supreme Industries Ltd.","SUPREMEIND","4079.65","51822.53","2023-09-30","50.4","11.77","-2.53","12.83","SUPREMEIND","509930","INE195A01028"
"Avenue Supermarts Ltd.","DMART","3838.25","249767.63","2023-09-30","107.1","15.53","6.4","-5.34","DMART","540376","INE192R01011"
"Eicher Motors Ltd.","EICHERMOT","3833.8","104958.21","2023-09-30","29.31","7","3.21","10.66","EICHERMOT","505200","INE066A01021"
"Tube Investments of India Ltd.","TIINDIA","3730.35","72115.13","2023-09-30","100.5","21.9","10.64","22.85","TIINDIA","540762","INE974X01010"
"Divi's Laboratories Ltd.","DIVISLAB","3701.7","98268.51","2023-09-30","73.79","7.7","7.37","-2.25","DIVISLAB","532488","INE361B01024"
"PI Industries Ltd.","PIIND","3648.85","55359.66","2023-09-30","37.01","7.7","10.81","25.49","PIIND","523642","INE603J01030"
"Navin Fluorine International Ltd.","NAVINFLUOR","3610.45","17897.9","2023-09-30","49.03","8.19","-3.94","-1.54","NAVINFLUOR","532504","INE048G01026"
"Siemens Ltd.","SIEMENS","3549","126387.09","2023-06-30","61.9","10.88","0.32","-3.37","SIEMENS","500550","INE003A01024"
"Ratnamani Metals & Tubes Ltd.","RATNAMANI","3544.4","24843.41","2023-09-30","39.9","9.28","-3.72","22.44","RATNAMANI","520111","INE703B01027"
"Tata Consultancy Services Ltd.","TCS","3530.15","1291700.03","2023-09-30","28.93","14.17","0.52","2.42","TCS","532540","INE467B01029"
"JK Cement Ltd.","JKCEMENT","3507.2","27099.54","2023-09-30","61.03","5.84","-0.36","55.33","JKCEMENT","532644","INE823G01014"
"Titan Company Ltd.","TITAN","3429.85","304497.35","2023-09-30","92.22","25.64","5.31","21.51","TITAN","500114","INE280A01028"
"AIA Engineering Ltd.","AIAENG","3424.9","32303.79","2023-09-30","26.56","5.67","4.45","18.63","AIAENG","532683","INE212H01026"
"Hero MotoCorp Ltd.","HEROMOTOCO","3413.6","68233.49","2023-09-30","21.01","4.07","7.71","41.71","HEROMOTOCO","500182","INE158A01026"
"KSB Ltd.","KSB","3347.2","11650.87","2023-09-30","55.56","10.19","-4.67","-20.22","KSB","500249","INE999A01015"
"Amber Enterprises India Ltd.","AMBER","3269.45","11015.99","2023-09-30","70.24","5.64","-45.53","-115.22","AMBER","540902","INE371P01015"
"Escorts Kubota Ltd.","ESCORTS","3206.8","35434.59","2023-09-30","38.92","4.33","-12.56","-22.97","ESCORTS","500495","INE042A01014"
"Sundaram Finance Ltd.","SUNDARMFIN","3200.45","35558.25","2023-09-30","23.6","2.81","7.99","-2.62","SUNDARMFIN","590071","INE660A01013"
"Asian Paints Ltd.","ASIANPAINT","3133","300516.67","2023-09-30","59.36","18.27","-7.66","-22.25","ASIANPAINT","500820","INE021A01026"
"Larsen & Toubro Ltd.","LT","3082.3","433285.82","2023-09-30","35.35","4.18","6.56","29.27","LT","500510","INE018A01030"
"Angel One Ltd.","ANGELONE","2960.4","24838.64","2023-09-30","24.35","11.49","29.77","37.91","ANGELONE","543235","INE732I01013"
"Timken India Ltd.","TIMKEN","2927.05","22016.89","2023-09-30","61.45","10.81","-4.96","3.23","TIMKEN","522113","INE325A01013"
"Ingersoll-Rand (India) Ltd.","INGERRAND","2922.9","9227.01","2023-09-30","42.23","15.96","-9.27","-7.48","INGERRAND","500210","INE177A01018"
"Multi Commodity Exchange of India Ltd.","MCX","2856.9","14569.73","2023-09-30","325","7.04","13.27","-197","MCX","534091","INE745G01035"
"HDFC Asset Management Company Ltd.","HDFCAMC","2853.7","60921.93","2023-09-30","36.72","9.97","11.93","-8.56","HDFCAMC","541729","INE127D01025"
"KEI Industries Ltd.","KEI","2847.9","25699.85","2023-09-30","48.65","9.94","9.2","15.51","KEI","517569","INE878B01027"
"Galaxy Surfactants Ltd.","GALAXYSURF","2823.95","10012.26","2023-09-30","28.66","5.32","4.39","2.98","GALAXYSURF","540935","INE600K01018"
"Schaeffler India Ltd.","SCHAEFFLER","2811.85","43950.26","2023-09-30","47.64","10.25","1.05","-0.96","SCHAEFFLER","505790","INE513A01022"
"Gujarat Fluorochemicals Ltd.","FLUOROCHEM","2785.4","30597.62","2023-09-30","33.43","5.54","-21.71","-73.78","FLUOROCHEM","542812","INE09N301011"
"Computer Age Management Services Ltd.","CAMS","2753.4","13525.39","2023-09-30","43.75","17.29","5.28","10.7","CAMS","543232","INE596I01012"
"Dr. Lal Pathlabs Ltd.","LALPATHLAB","2695.65","22502.72","2023-09-30","74.66","13.24","11.15","32.32","LALPATHLAB","539524","INE600L01024"
"eClerx Services Ltd.","ECLERX","2627.2","12879.95","2023-09-30","25.45","7.5","5.45","27.89","ECLERX","532927","INE738I01010"
"Trent Ltd.","TRENT","2627.15","93391.9","2023-09-30","148.39","35.07","13.47","35.31","TRENT","500251","INE849A01020"
"Thermax Ltd.","THERMAX","2612.75","31132.56","2023-09-30","62.42","8.04","19.12","167.88","THERMAX","500411","INE152A01029"
"InterGlobe Aviation Ltd.","INDIGO","2604.35","100513.61","2023-09-30","17.88","-16.08","-10.42","-93.89","INDIGO","539448","INE646L01027"
"TeamLease Services Ltd.","TEAMLEASE","2594.75","4351.11","2023-09-30","40.83","5.3","4.65","3.29","TEAMLEASE","539658","INE985S01024"
"IndiaMART InterMESH Ltd.","INDIAMART","2579.65","15472.51","2023-09-30","48.19","7.52","4.47","-16.49","INDIAMART","542726","INE933S01016"
"Hindustan Unilever Ltd.","HINDUNILVR","2521.9","592543.43","2023-09-30","57.62","11.73","0.82","3.99","HINDUNILVR","500696","INE030A01027"
"Balkrishna Industries Ltd.","BALKRISIND","2500.1","48331.23","2023-09-30","46.14","6.4","4.35","4.69","BALKRISIND","502355","INE787D01026"
"Kaynes Technology India Ltd.","KAYNES","2491.15","14484.17","2023-09-30","101.11","15.08","21.42","31.42","KAYNES","543664","INE918Z01012"
"Pidilite Industries Ltd.","PIDILITIND","2488.35","126553","2023-09-30","84.06","17","-6.08","-3.85","PIDILITIND","500331","INE318A01026"
"BEML Ltd.","BEML","2427","10107.12","2023-09-30","50.34","4.19","58.91","169.05","BEML","500048","INE258A01016"
"Mastek Ltd.","MASTEK","2397.7","7348.88","2023-09-30","27.25","4.14","5.56","-10.37","MASTEK","523704","INE759A01021"
"Reliance Industries Ltd.","RELIANCE","2388.2","1615823.02","2023-09-30","23.59","1.95","13.2","8.64","RELIANCE","500325","INE002A01018"
"MphasiS Ltd.","MPHASIS","2351.95","44353.33","2023-09-30","27.62","5.59","0.75","-1.04","MPHASIS","526299","INE356A01018"
"SRF Ltd.","SRF","2333.1","69158.87","2023-09-30","39.9","6.72","-4.82","-16.28","SRF","503806","INE647A01010"
"Phoenix Mills Ltd.","PHOENIXLTD","2222.3","39704.59","2023-09-30","42.99","3.58","7.94","5.04","PHOENIXLTD","503100","INE211B01039"
"MTAR Technologies Ltd.","MTARTECH","2199.55","6765.73","2023-09-30","65.49","10.91","9.36","0.6","MTARTECH","543270","INE864I01014"
"C.E. Info Systems Ltd.","MAPMYINDIA","2181.65","11791.45","2023-09-30","95.92","21.91","1.86","2.53","MAPMYINDIA","543425","INE0BV301023"
"Adani Enterprises Ltd.","ADANIENT","2172.65","247682.34","2023-09-30","101.33","6.75","-11.48","-66.2","ADANIENT","512599","INE423A01024"
"Colgate-Palmolive (India) Ltd.","COLPAL","2167.65","58956.96","2023-09-30","50.25","34.35","11.14","24.25","COLPAL","500830","INE259A01022"
"Dalmia Bharat Ltd.","DALBHARAT","2155.25","40421.09","2023-09-30","38.83","2.53","-13.11","-9.23","DALBHARAT","542216","INE00R701025"
"Alkyl Amines Chemicals Ltd.","ALKYLAMINE","2144.05","10959.08","2023-09-30","63.96","9.38","-14.07","-45.27","ALKYLAMINE","506767","INE150B01039"
"Deepak Nitrite Ltd.","DEEPAKNTR","2133.4","29098.08","2023-09-30","36.47","7.11","0.55","36.81","DEEPAKNTR","506401","INE288B01029"
"Hindustan Aeronautics Ltd.","HAL","2112.1","141251.97","2023-09-30","23.4","5.99","43.94","51.88","HAL","541154","INE066F01020"
"Torrent Pharmaceuticals Ltd.","TORNTPHARM","2111.55","71464.44","2023-09-30","53.57","11.53","2.66","2.12","TORNTPHARM","500420","INE685A01028"
"Ceat Ltd.","CEATLTD","2098.15","8487.04","2023-09-30","16.27","2.46","4.03","43.84","CEATLTD","500878","INE482A01020"
"BSE Ltd.","BSE","2088.75","28294.81","2023-09-30","40.08","10","39.45","-72.78","BSE","","INE118H01025"
"Grindwell Norton Ltd.","GRINDWELL","2087.4","23111.69","2023-09-30","61.1","12.74","-0.14","5.05","GRINDWELL","506076","INE536A01023"
"Godfrey Phillips India Ltd.","GODFRYPHLP","2059","10705.54","2023-09-30","13.33","3.01","10.37","-20.58","GODFRYPHLP","500163","INE260B01028"
"Balaji Amines Ltd.","BALAMINES","2029.7","6576.43","2023-09-30","33.32","3.87","-17.93","-34.07","BALAMINES","530999","INE050E01027"
"Shriram Finance Ltd.","SHRIRAMFIN","1977.1","74248.31","2023-09-30","11.29","1.7","7.2","4.74","SHRIRAMFIN","511218","INE721A01013"
"Grasim Industries Ltd.","GRASIM","1974.1","129984.38","2023-09-30","19.62","1.06","-2.72","-26.18","GRASIM","500300","INE047A01021"
"Mazagon Dock Shipbuilders Ltd.","MAZDOCK","1956.85","39467.71","2023-09-30","29.73","8.29","-15.88","5.9","MAZDOCK","543237","INE249Z01012"
"Astral Ltd.","ASTRAL","1947.95","52327.2","2023-09-30","95.19","17.72","6.23","9.52","ASTRAL","532830","INE006I01046"
"Krishna Institute of Medical Sciences Ltd.","KIMS","1944.15","15558.6","2023-09-30","45.48","8.03","7.67","13.86","KIMS","543308","INE967H01017"
"Mankind Pharma Ltd.","MANKIND","1934.9","77509.85","2023-09-30","49.53","10.17","5.02","1.38","MANKIND","543904","INE634S01028"
"Ajanta Pharma Ltd.","AJANTPHARM","1918.55","24157.56","2023-09-30","36.59","7.16","0.72","-6.16","AJANTPHARM","532331","INE031B01049"
"Godrej Properties Ltd.","GODREJPROP","1861.9","51768.19","2023-09-30","78.13","5.57","-63.36","-46.53","GODREJPROP","533150","INE484J01027"
"Cummins India Ltd.","CUMMINSIND","1844.95","51142.01","2023-09-30","35.38","8.88","-13.38","-6.96","CUMMINSIND","500480","INE298A01020"
"Data Patterns (India) Ltd.","DATAPATTNS","1839.2","10296.58","2023-09-30","69.43","8.83","20.76","30.79","DATAPATTNS","543428","INE0IX101010"
"ACC Ltd.","ACC","1815.25","34088.09","2023-09-30","28.34","2.41","-14.73","-16.79","ACC","500410","INE012A01025"
"Cyient Ltd.","CYIENT","1815.15","20099.41","2023-09-30","30.2","5.8","5.46","6.07","CYIENT","532175","INE136B01020"
"V-Mart Retail Ltd.","VMART","1750.15","3461.2","2023-09-30","-33.59","4.08","-19.03","-192.18","VMART","534976","INE665J01013"
"Kotak Mahindra Bank Ltd.","KOTAKBANK","1745.65","346953.47","2023-09-30","20.2","3.1","6.59","7.49","KOTAKBANK","500247","INE237A01028"
"TVS Motor Company Ltd.","TVSMOTOR","1739.3","82631.9","2023-09-30","56.69","13.98","9.69","-11.04","TVSMOTOR","532343","INE494B01023"
"Vinati Organics Ltd.","VINATIORGA","1727.9","17759.7","2023-09-30","43.51","8.01","3.97","1.13","VINATIORGA","524200","INE410B01037"
"Gland Pharma Ltd.","GLAND","1719.2","28315.55","2023-09-30","40.52","3.57","13.63","-0.01","GLAND","543245","INE068V01023"
"Central Depository Services (India) Ltd.","CDSL","1719","17963.55","2023-09-30","56.11","14.29","38.5","47.95","CDSL","","INE736A01011"
"Tata Communications Ltd.","TATACOMM","1705.25","48599.62","2023-09-30","36.75","31.38","2.12","-42.19","TATACOMM","500483","INE151A01013"
"GlaxoSmithKline Pharmaceuticals Ltd.","GLAXO","1694.95","28713.47","2023-09-30","44.33","16.49","25.65","64.47","GLAXO","500660","INE159A01016"
"CreditAccess Grameen Ltd.","CREDITACC","1689.25","26884.43","2023-09-30","22.32","5.26","6.57","-0.41","CREDITACC","541770","INE741K01010"
"Raymond Ltd.","RAYMOND","1677.2","11165.74","2023-09-30","7.37","3.74","27.2","-85","RAYMOND","500330","INE301A01014"
"APL Apollo Tubes Ltd.","APLAPOLLO","1660","46036.91","2023-09-30","59.98","15.32","1.88","4.78","APLAPOLLO","533758","INE702C01027"
"PVR INOX Ltd.","PVRINOX","1655.05","16239.65","2023-09-30","-69.84","2.22","53.26","303.8","PVRINOX","532689","INE191H01014"
"Bajaj Finserv Ltd.","BAJAJFINSV","1623.9","258657.31","2023-09-30","34.85","3.33","11.78","-0.7","BAJAJFINSV","532978","INE918I01026"
"Bata India Ltd.","BATAINDIA","1619.6","20816.31","2023-09-30","71.85","14.47","-14.51","-68.2","BATAINDIA","500043","INE176A01028"
"Metropolis Healthcare Ltd.","METROPOLIS","1619.55","8295.92","2023-09-30","62.19","8.37","11.34","23.12","METROPOLIS","542650","INE112L01020"
"United Breweries Ltd.","UBL","1597.6","42241.36","2023-09-30","168.07","10.64","-16.91","-21.24","UBL","532478","INE686F01025"
"Endurance Technologies Ltd.","ENDURANCE","1590.3","22369.61","2023-09-30","39.75","5.07","3.88","-5.47","ENDURANCE","540153","INE913H01037"
"HEG Ltd.","HEG","1577.95","6090.18","2023-09-30","13.86","1.42","-8.53","-31.01","HEG","509631","INE545A01016"
"Whirlpool of India Ltd.","WHIRLPOOL","1575.5","19988.65","2023-09-30","100.53","5.45","-25.36","-51.15","WHIRLPOOL","500238","INE716A01013"
"Zydus Wellness Ltd.","ZYDUSWELL","1553.35","9884.29","2023-09-30","35.15","1.93","-37.35","-94.66","ZYDUSWELL","531335","INE768C01010"
"Route Mobile Ltd.","ROUTE","1548.4","9696.24","2023-09-30","26.54","5.3","4.89","-3.94","ROUTE","543228","INE450U01017"
"Mahindra & Mahindra Ltd.","M&M","1543.45","191932.45","2023-09-30","17.18","2.86","1.6","-33.08","M&M","500520","INE101A01026"
"GMM Pfaudler Ltd.","GMMPFAUDLR","1538.8","6918.01","2023-09-30","37.76","8.48","2.76","29.51","GMMPFAUDLR","505255","INE541A01023"
